City,latitude,Longitude,Maxtemp,Humidity,Cloudiness,Windspeed,Country,Date
Batagay-Alyta,67.8,130.41,284.87,53,100,1.52,RU,1594909464
Arraial do Cabo,-22.97,-42.03,294.15,64,75,2.6,BR,1594909464
Bredasdorp,-34.53,20.04,292.15,45,53,4.1,ZA,1594909464
Barra de Tecoanapa,16.52,-98.75,300.58,74,59,1.27,MX,1594909465
Busselton,-33.65,115.33,286.48,87,88,4.7,AU,1594909465
Vaini,-21.2,-175.2,296.15,88,75,2.1,TO,1594909465
Avarua,-21.21,-159.78,294.15,73,43,3.1,CK,1594909465
Ushuaia,-54.8,-68.3,271.15,92,7,2.1,AR,1594909465
Port Moresby,-9.44,147.18,297.47,88,32,6.46,PG,1594909465
Lagoa,39.05,-27.98,293.16,80,100,6.11,PT,1594909465
Quatre Cocos,-20.21,57.76,295.15,73,40,3.1,MU,1594909465
Ponta Delgada,37.73,-25.67,296.15,69,75,6.7,PT,1594909465
Hithadhoo,-0.6,73.08,302.47,69,95,1.07,MV,1594909465
Chui,-33.7,-53.46,283.87,67,53,3.18,UY,1594909465
Isangel,-19.55,169.27,295.1,77,7,0.64,VU,1594909465
Butaritari,3.07,172.79,301.29,67,58,3.67,KI,1594909465
Hamilton,39.18,-84.53,300.93,78,90,7.2,US,1594909466
Lebu,-37.62,-73.65,284.78,88,100,6.52,CL,1594909466
Miles City,46.41,-105.84,289.15,55,1,1.5,US,1594909466
Puerto Ayora,-0.74,-90.35,293.15,88,58,0.45,EC,1594909466
Tuburan,6.64,122.27,301.12,75,100,3.29,PH,1594909466
Castro,-24.79,-50.01,288.73,64,0,2.58,BR,1594909466
Rikitea,-23.12,-134.97,296.15,84,100,3.28,PF,1594909466
Miyako,39.64,141.95,289.55,90,80,1.44,JP,1594909466
Faanui,-16.48,-151.75,298.44,81,100,4.72,PF,1594909466
New Norfolk,-42.78,147.06,279.26,74,9,1.34,AU,1594909466
Krasnosel'kup,65.7,82.47,286.21,71,92,8.63,RU,1594909466
Cabo San Lucas,22.89,-109.91,303.15,69,0,3.14,MX,1594909467
Cape Canaveral,28.41,-80.6,303.15,79,1,5.1,US,1594909467
Biak,-0.91,122.88,297.41,83,14,1.84,ID,1594909467
Port Alfred,-33.59,26.89,290.66,36,0,2.17,ZA,1594909467
Upernavik,72.79,-56.15,279.84,83,100,1.48,GL,1594909467
Ndjolé,-0.18,10.76,305.08,49,82,1.87,GA,1594909467
East London,-33.02,27.91,292.15,34,0,2.6,ZA,1594909467
Mar del Plata,-38.0,-57.56,282.15,76,100,4.1,AR,1594909467
Punta Arenas,-53.15,-70.92,271.15,92,75,3.6,CL,1594909467
Hilo,19.73,-155.09,296.15,78,90,2.1,US,1594909467
Maragogi,-9.01,-35.22,298.03,83,87,6.27,BR,1594909467
Punta Cardon,11.66,-70.22,301.28,72,19,9.24,VE,1594909467
Te Anau,-45.42,167.72,271.85,96,12,0.39,NZ,1594909467
Chokurdakh,70.63,147.92,276.17,95,100,3.22,RU,1594909467
Port Elizabeth,-33.92,25.57,290.15,51,0,2.6,ZA,1594909468
Touros,-5.2,-35.46,299.15,78,75,5.1,BR,1594909468
Provideniya,64.38,-173.3,282.94,85,67,1.05,RU,1594909468
Kahului,20.89,-156.47,296.15,69,1,3.6,US,1594909468
