City,latitude,Longitude,Maxtemp,Humidity,Cloudiness,Windspeed,Country,Date
Mataura,-46.19,168.86,-1.77,97,0,0.76,NZ,1594999916
Tasiilaq,65.61,-37.64,14.0,41,5,3.1,GL,1594999660
Kapaa,22.08,-159.32,24.0,94,75,2.1,US,1594999916
Jamestown,42.1,-79.24,23.89,73,75,3.6,US,1594999916
Svetlaya,46.54,138.33,18.66,85,0,1.7,RU,1594999916
Hobart,-42.88,147.33,4.0,93,66,4.6,AU,1594999790
Hong Kong,22.29,114.16,30.0,74,0,4.92,HK,1594999763
Avarua,-21.21,-159.78,19.0,72,5,1.5,CK,1594999917
Punta Arenas,-53.15,-70.92,-2.0,92,90,1.5,CL,1594999917
Bredasdorp,-34.53,20.04,25.0,33,0,1.48,ZA,1594999917
Ponta do Sol,32.67,-17.1,24.44,65,3,0.78,PT,1594999917
Hithadhoo,-0.6,73.08,28.86,76,99,5.09,MV,1594999663
Kirkwall,58.98,-2.96,15.0,62,20,8.2,GB,1594999676
Yellowknife,62.46,-114.35,17.78,67,75,1.5,CA,1594999917
Leh,34.17,77.58,20.17,25,30,2.57,IN,1594999917
Sandwick,60.0,-1.25,14.0,76,20,6.2,GB,1594999706
Port Elizabeth,-33.92,25.57,22.0,35,0,1.0,ZA,1594999917
Bouna,9.27,-3.0,27.06,76,100,2.74,CI,1594999917
Dingle,11.0,122.67,25.56,79,77,2.16,PH,1594999918
Ushuaia,-54.8,-68.3,-2.0,92,0,3.1,AR,1594999918
Warman,52.32,-106.57,19.44,88,75,6.2,CA,1594999918
Bethel,41.37,-73.41,20.0,94,90,2.6,US,1594999647
Narsaq,60.92,-46.05,18.0,27,40,3.1,GL,1594999695
Bengkulu,-3.8,102.27,24.76,89,85,2.1,ID,1594999918
Ahipara,-35.17,173.17,14.94,91,100,3.29,NZ,1594999645
Tacuarembó,-31.73,-55.98,12.47,88,89,4.76,UY,1594999918
Presidente Venceslau,-21.88,-51.84,26.0,41,0,3.1,BR,1594999918
Butaritari,3.07,172.79,28.17,77,0,6.12,KI,1594999918
Katsuura,35.13,140.3,20.56,100,75,0.5,JP,1594999919
Tuktoyaktuk,69.45,-133.04,8.0,87,75,5.7,CA,1594999919
Lata,40.16,-8.33,38.33,22,0,2.68,PT,1594999919
Nur-Sultan,51.18,71.45,27.0,47,99,6.0,KZ,1594999919
Kumul,42.8,93.45,28.26,19,0,2.31,CN,1594999919
Gorontalo,0.54,123.06,23.93,90,15,0.97,ID,1594999920
Gornopravdinsk,60.05,69.9,25.31,73,45,4.21,RU,1594999920
Cape Town,-33.93,18.42,23.89,28,0,5.7,ZA,1594999920
Yar-Sale,66.83,70.83,13.68,63,82,3.67,RU,1594999920
Vaini,-21.2,-175.2,23.0,94,75,4.1,TO,1594999920
Atuona,-9.8,-139.03,26.06,76,5,6.84,PF,1594999920
Assiniboia,49.63,-105.98,22.79,51,100,8.57,CA,1594999920
Albany,42.6,-73.97,23.89,77,91,2.26,US,1594999823
Bluff,-46.6,168.33,2.23,91,37,2.49,NZ,1594999920
Carnarvon,-24.87,113.63,15.0,72,0,6.2,AU,1594999920
Pevek,69.7,170.31,4.94,93,81,1.2,RU,1594999634
Coahuayana Viejo,18.73,-103.68,24.0,73,90,7.7,MX,1594999921
Lubań,51.12,15.29,18.89,69,16,2.51,PL,1594999921
Sabzawār,36.21,57.68,34.0,24,20,6.2,IR,1594999921
Hilo,19.73,-155.09,22.0,88,90,2.1,US,1594999921
Provideniya,64.38,-173.3,11.38,83,96,0.47,RU,1594999921
Rikitea,-23.12,-134.97,23.08,80,100,4.06,PF,1594999922
East London,-33.02,27.91,21.0,43,0,2.6,ZA,1594999640
Isangel,-19.55,169.27,21.54,82,7,2.73,VU,1594999922
Aquiraz,-3.9,-38.39,31.0,48,20,6.2,BR,1594999922
Coolum Beach,-26.53,153.1,11.67,93,0,3.9,AU,1594999922
Cateel,7.79,126.45,25.73,83,95,2.02,PH,1594999922
Buluang,13.31,123.34,25.86,83,100,1.5,PH,1594999922
Saint-Philippe,-21.36,55.77,22.0,68,90,6.7,RE,1594999922
Orotukan,62.27,151.7,9.53,87,100,1.01,RU,1594999923
Muroto-misakicho,33.28,134.15,23.84,87,34,2.43,JP,1594999923
Constitución,-35.33,-72.42,12.37,92,100,10.06,CL,1594999886
Tiksi,71.69,128.87,6.38,78,99,7.82,RU,1594999923
Hermanus,-34.42,19.23,18.33,57,0,0.45,ZA,1594999923
Ust-Maya,60.42,134.53,18.54,72,0,1.5,RU,1594999923
Lagoa,39.05,-27.98,21.14,76,50,5.47,PT,1594999923
Shingū,33.73,135.98,22.2,94,100,2.26,JP,1594999923
Ranfurly,-45.13,170.1,1.67,75,68,0.86,NZ,1594999923
Esperance,-33.87,121.9,9.0,100,75,6.2,AU,1594999923
Evensk,61.95,159.23,9.9,96,100,1.55,RU,1594999923
Husavik,66.04,-17.34,8.0,81,75,17.5,IS,1594999924
Kaitangata,-46.28,169.85,5.0,82,0,0.45,NZ,1594999924
Galle,6.04,80.22,26.98,83,91,4.34,LK,1594999924
Richards Bay,-28.78,32.04,17.43,58,0,2.88,ZA,1594999658
Lompoc,34.64,-120.46,16.0,82,0,0.16,US,1594999640
Saldanha,-33.01,17.94,23.0,31,0,6.2,ZA,1594999924
Nipawin,53.37,-104.0,16.0,93,40,5.1,CA,1594999924
Ilulissat,69.22,-51.1,11.0,50,5,4.1,GL,1594999924
Cairns,-16.92,145.77,16.0,82,35,4.6,AU,1594999639
Tupik,54.43,119.93,15.3,93,51,0.66,RU,1594999924
Karratha,-20.74,116.85,19.98,84,1,2.15,AU,1594999862
Cidreira,-30.18,-50.21,16.69,83,36,2.58,BR,1594999925
Baiyin,36.56,104.21,18.89,93,40,1.0,CN,1594999925
Salalah,17.02,54.09,29.0,83,40,3.6,OM,1594999925
Shihezi,44.3,86.03,28.83,19,3,3.25,CN,1594999925
Borborema,-21.62,-49.07,29.28,34,2,3.1,BR,1594999925
Busselton,-33.65,115.33,7.22,73,92,3.43,AU,1594999925
Chui,-33.7,-53.46,15.07,84,68,5.52,UY,1594999926
Ribeira Grande,38.52,-28.7,24.0,57,75,6.2,PT,1594999647
Bubaque,11.28,-15.83,25.01,90,100,12.44,GW,1594999926
Øksfjord,70.24,22.35,23.0,53,75,2.6,NO,1594999926
Airai,-8.93,125.41,13.83,100,34,1.23,TL,1594999926
Yungay,-9.14,-77.74,20.39,25,0,2.22,PE,1594999926
Bourail,-21.57,165.48,16.05,70,0,0.92,NC,1594999926
Mahébourg,-20.41,57.7,21.0,83,40,5.7,MU,1594999926
Saskylakh,71.92,114.08,10.54,88,100,4.8,RU,1594999926
Loandjili,-4.76,11.86,26.0,74,40,4.6,CG,1594999927
Mar del Plata,-38.0,-57.56,11.67,76,44,2.6,AR,1594999927
