,City,latitude,Longitude,Maxtemp,Humidity,Cloudiness,Windspeed,Country,Date,Hotel Name
76,Arraial do Cabo,-22.97,-42.03,22.0,78,0,8.7,BR,1595103631,Pousada Porto Praia
89,Yumen,40.28,97.2,21.11,23,0,3.42,CN,1595103633,
94,Lüderitz,-26.65,15.16,21.0,21,0,3.6,,1595103634,LÜDERITZ NEST HOTEL
140,Soyo,-6.13,12.37,22.25,86,0,4.4,AO,1595103639,Hotel Mpampa
148,Hastings,50.86,0.57,20.56,82,0,1.79,GB,1595103640,Zanzibar Hotel
168,Walvis Bay,-22.96,14.51,22.0,13,0,7.2,,1595103641,Oyster Box Guesthouse
199,Frederico Westphalen,-27.36,-53.39,24.44,77,0,0.89,BR,1595103645,Hotel Palace Frederico
212,Akhtubinsk,48.28,46.17,24.06,50,0,6.01,RU,1595103646,Vzlet
219,Marsá Maţrūḩ,31.35,27.25,25.0,78,0,2.6,EG,1595103423,Beau Site
297,Kasongo-Lunda,-6.47,16.82,22.31,33,0,1.06,CD,1595103652,
